idx,gt
0.00103249727675203130.23677820798415050.7050857562244466_0_0_0_0_9_35,0
0.0019854243295879260.0286276958653508550.8295731456053279_0_0_0_0_1637_43,4
0.0055826482360382680.53755056558076890.18776955126042416_0_0_0_0_1562_293,0
0.0056082525335631180.072100167826147480.09500857266085416_0_0_0_0_1072_828,0
0.0056082525335631180.072100167826147480.09500857266085416_4_4_4_4_1042_198,4
0.0062818188617491670.212919715903530540.6610598052788744_1_1_1_1_742_288,1
0.0069778011887373650.75257420572119340.1550402409754622_0_0_0_0_2072_563,0
0.0070485065477940980.94112363507268160.5859213863934372_0_0_0_0_622_198,0
0.0074742280075711380.427713586126560740.9264751307288239_0_0_0_0_1167_223,0
0.0091882481198156670.60732313076353240.08772842891979549_1_1_1_1_1697_368,1
0.0092409317605512960.56568978481236850.1311803077047763_7_7_7_7_336_368,7
0.0095964631074969550.94094687882068070.7708758680570287_2_2_2_2_1557_928,2
0.0101547280619290750.53887719406129960.2958450396784177_2_2_2_2_1302_348,2
0.0116158256987709540.091583639279747440.4964098795096855_6_6_6_6_889_879,6
0.0128014996016426740.256021255105425060.5962162837850934_3_0_0_0_274_353,2
0.0128848337894155170.13444270497576860.46458342599501423_0_0_0_0_1337_77,0
0.0133302695087518240.100766409280307670.45655909206287915_1_1_1_1_1457_1263,1
0.0139003264029883280.045660528110421430.04891106366585152_6_6_2_5_507_513,0
0.0140082158408385560.84819846332979430.9897378669469554_6_6_6_6_422_422,6
0.01452684177631880.94977457075354570.8770773502150618_1_1_1_1_1453_244,1
0.0146345771743516820.83302317657293750.4337207825937188_7_7_7_7_2217_163,7
0.0146642344262495340.0082065942776055060.4910173826970905_1_1_1_1_2217_1553,1
0.0146642344262495340.0082065942776055060.4910173826970905_1_1_1_1_592_413,1
0.0146642344262495340.0082065942776055060.4910173826970905_1_1_1_1_7_443,1
0.0146642344262495340.0082065942776055060.4910173826970905_1_1_1_1_932_8,1
0.0146642344262495340.0082065942776055060.4910173826970905_1_3_1_1_1717_43,1
0.0146642344262495340.0082065942776055060.4910173826970905_1_6_6_1_977_598,1
0.0148261064282468880.332018691848461560.8763564647394472_0_0_0_0_937_1059,0
0.0151940245521052790.66709191052897640.33112763175006166_2_2_2_2_482_868,2
0.015622642061761560.28313681458209760.8810196114986082_0_1_1_0_1764_616,7
0.0161485345646594780.97104371978813650.24860529792299868_0_0_0_0_614_352,5
0.0161485345646594780.97104371978813650.24860529792299868_1_1_1_1_1032_617,1
0.0161485345646594780.97104371978813650.24860529792299868_1_1_1_1_767_635,1
0.0162426539871040050.40665187542535820.8673759604040843_6_6_6_6_2220_635,6
0.0167177185160753970.094858142964194150.066949371559065_2_2_2_2_1007_378,2
0.0178969048021100360.35212086795453480.09041443288620632_0_0_0_0_1827_725,7
0.0197766712582708730.52587871152746550.018113709522824428_6_6_6_6_2264_294,6
0.0199618367798212180.391327992584984960.4272601946772433_5_5_5_5_1096_481,5
0.0216159506691889770.54387849803646740.6494278020385656_1_1_1_1_2118_20,1
0.0231315486305403440.35788313925761370.14065999092972947_1_1_1_1_1481_862,1
0.0231315486305403440.35788313925761370.14065999092972947_1_1_1_1_1829_177,1
0.0231315486305403440.35788313925761370.14065999092972947_5_5_5_1_2061_1468,1
0.0231315486305403440.35788313925761370.14065999092972947_8_1_1_1_837_44,1
0.023533040364448810.218107127554828080.9640052050256155_1_1_1_1_581_564,1
0.024310966725021420.60073156842833520.37664361731842166_2_2_2_2_607_723,2
0.0246660710660441260.97627149219526350.7625935661805961_4_4_4_4_1972_528,4
0.0248118828601144870.49282570739910580.36642088535331563_0_0_0_0_707_413,2
0.027490568835343730.47556029652919340.2697157458921835_0_0_0_0_955_505,0
0.029762140137205350.122355342336331050.5915535791841714_1_1_1_1_37_390,1
0.0303380733345400830.74084691930806380.7935614099654895_2_2_2_2_637_503,2
0.030509596045651620.5696360458624720.8182049447786189_0_0_0_0_1061_528,0
0.0307349509000885980.21408827333591540.4403498729810609_5_5_5_5_2108_179,5
0.0308416315181336830.323235835471991860.47350187023445245_1_1_1_1_835_644,1
0.032454292985139130.95506142064570560.9357751802300256_6_6_0_0_186_333,0
0.0357011601811706440.98035605033912490.7255056988928151_0_0_0_0_1714_1235,0
0.037972387615298310.19937562798421370.4914391208561103_3_3_3_3_957_258,3
0.038839067339356270.36128975939940280.30057790762237835_5_5_5_5_19_468,5
0.038839067339356270.36128975939940280.30057790762237835_5_5_5_5_21_1516,5
0.039801786215619140.84837568657420980.9946670896222556_0_0_0_0_1326_318,0
0.0405896768105369340.80529571431589990.98491068874135_2_2_2_6_957_363,2
0.0407785987787943060.77101671752151930.006602457184009314_5_5_5_5_28_68,5
